,Date,Name,Budget
0,"Dec 15, 2006",Eragon," $100,000,000"
1,"Jul 23, 2014",Hercules," $100,000,000"
2,"Dec 10, 2010",The Tourist," $100,000,000"
3,"Nov 24, 1999",End of Days," $100,000,000"
4,"Dec 25, 2019",Spies in Disguise," $100,000,000"
5,"Jun 11, 2004",The Stepford Wives," $100,000,000"
6,"Jun 8, 2007",Surf's Up," $100,000,000"
7,"Dec 8, 2006",Blood Diamond," $100,000,000"
8,"Nov 7, 2019",Midway," $100,000,000"
9,"Sep 24, 2010",Legend of the Guardians: The Owls of Ga'Hoole," $100,000,000"
10,"Nov 7, 1997",Starship Troopers," $100,000,000"
11,"Jun 5, 2009",Land of the Lost," $100,000,000"
12,"Dec 25, 2003",Peter Pan," $100,000,000"
13,"Mar 15, 2019",Wonder Park," $100,000,000"
14,"Jul 23, 2004",Catwoman," $100,000,000"
15,"Aug 14, 2014",The Expendables 3," $100,000,000"
16,"Nov 27, 2002",Treasure Planet," $100,000,000"
17,"Mar 12, 2010",Green Zone," $100,000,000"
18,"Oct 13, 2017",Geostorm," $100,000,000"
19,"Dec 2, 2015",Point Break," $100,000,000"
20,"Dec 17, 2019",Cats," $100,000,000"
21,"Nov 26, 2015",In the Heart of the Sea," $100,000,000"
22,"Apr 18, 2014",Transcendence," $100,000,000"
23,"Feb 18, 2005",Son of the Mask," $100,000,000"
24,"Dec 5, 2018",Mortal Engines," $100,000,000"
25,"Aug 16, 2002",The Adventures of Pluto Nash," $100,000,000"
26,"Jan 20, 2012",Jin lÃ­ng shÃ­ san chai," $100,000,000"
27,"May 29, 2020",Artemis Fowl," $100,000,000"
28,"Nov 5, 2015",The Peanuts Movie," $99,000,000"
29,"Feb 6, 2019",The LEGO Movie 2: The Second Part," $99,000,000"
30,"Nov 21, 2018",Robin Hood," $99,000,000"
31,"May 4, 2001",The Mummy Returns," $98,000,000"
32,"Nov 14, 2019",Ford v. Ferrari," $97,600,000"
33,"Dec 20, 2002",Gangs of New York," $97,000,000"
34,"May 4, 2017",Alien: Covenant," $97,000,000"
35,"Mar 6, 2015",Cinderella," $95,000,000"
36,"Jun 27, 2012",Ice Age: Continental Drift," $95,000,000"
37,"Dec 28, 2001",Black Hawk Down," $95,000,000"
38,"May 27, 2010",Sex and the City 2," $95,000,000"
39,"Feb 12, 2010",Percy Jackson & the Olympians: The Lightning Thief," $95,000,000"
40,"Aug 10, 2012",The Campaign," $95,000,000"
41,"Nov 12, 2010",Unstoppable," $95,000,000"
42,"May 9, 1997",The Fifth Element," $95,000,000"
43,"Mar 31, 2000",The Road to El Dorado," $95,000,000"
