,Date,Name,Budget
44,"Dec 11, 2009",The Lovely Bones," $95,000,000"
45,"Jun 30, 2016",Ben-Hur," $95,000,000"
46,"Dec 19, 2014",Seventh Son," $95,000,000"
47,"May 30, 2003",Finding Nemo," $94,000,000"
48,"Dec 17, 2003",The Lord of the Rings: The Return of the King," $94,000,000"
49,"Dec 18, 2002",The Lord of the Rings: The Two Towers," $94,000,000"
50,"Jun 15, 2001",Lara Croft: Tomb Raider," $94,000,000"
51,"Jan 29, 2015",Kingsman: The Secret Service," $94,000,000"
52,"Jul 18, 2001",Jurassic Park III," $93,000,000"
53,"Aug 5, 2011",Rise of the Planet of the Apes," $93,000,000"
54,"Feb 14, 2008",The Spiderwick Chronicles," $92,500,000"
55,"Oct 22, 2004",The Incredibles," $92,000,000"
56,"Feb 6, 2013",A Good Day to Die Hard," $92,000,000"
57,"Apr 9, 2004",The Alamo," $92,000,000"
58,"Dec 22, 1995",Cutthroat Island," $92,000,000"
59,"Dec 19, 2013",The Secret Life of Walter Mitty," $91,000,000"
60,"Dec 20, 2017",Jumanji: Welcome to the Jungle," $90,000,000"
61,"Jul 1, 1997",Men in Black," $90,000,000"
62,"Nov 19, 1999",Toy Story 2," $90,000,000"
63,"Aug 3, 2001",Rush Hour 2," $90,000,000"
64,"Dec 25, 2009",Sherlock Holmes," $90,000,000"
65,"Jan 15, 2020",Bad Boys For Life," $90,000,000"
66,"Jul 1, 2009",Ice Age: Dawn of the Dinosaurs," $90,000,000"
67,"Dec 12, 2018",Spider-Man: Into The Spider-Verse 3D," $90,000,000"
68,"Jul 21, 2000",What Lies Beneath," $90,000,000"
69,"Apr 8, 2011",Rio," $90,000,000"
70,"Jul 26, 2019",Once Upon a Timeâ¦in Hollywood," $90,000,000"
71,"Oct 6, 2006",The Departed," $90,000,000"
72,"Feb 13, 2020",Sonic The Hedgehog," $90,000,000"
73,"Nov 3, 2000",Charlie's Angels," $90,000,000"
74,"Jun 19, 1998",Mulan," $90,000,000"
75,"Aug 13, 2008",Tropic Thunder," $90,000,000"
76,"Dec 20, 2011",The Girl with the Dragon Tattoo," $90,000,000"
77,"Jul 11, 1997",Contact," $90,000,000"
78,"Jun 6, 2008",You Don't Mess With the Zohan," $90,000,000"
79,"May 19, 1995",Die Hard: With a Vengeance," $90,000,000"
80,"Sep 12, 2016",The Magnificent Seven," $90,000,000"
81,"Dec 18, 2015",Alvin and the Chipmunks: The Road Chip," $90,000,000"
82,"Jun 8, 2001",Atlantis: The Lost Empire," $90,000,000"
83,"Dec 25, 2008",Valkyrie," $90,000,000"
84,"Jul 16, 2015",Pixels," $90,000,000"
85,"Jun 29, 2001",Artificial Intelligence: AI," $90,000,000"
86,"Nov 26, 2003",The Haunted Mansion," $90,000,000"
87,"Aug 4, 2000",Hollow Man," $90,000,000"
88,"Apr 22, 2005",The Interpreter," $90,000,000"
89,"Aug 7, 2013",Percy Jackson: Sea of Monsters," $90,000,000"
90,"Jul 25, 2003",Lara Croft: Tomb Raider: The Cradle of Life," $90,000,000"
91,"May 27, 2016",Now You See Me 2," $90,000,000"
92,"Nov 21, 2001",Spy Game," $90,000,000"
93,"Apr 4, 1997",The Saint," $90,000,000"
94,"Mar 10, 2000",Mission to Mars," $90,000,000"
95,"Mar 6, 2018",Tomb Raider," $90,000,000"
96,"Dec 17, 1999",Bicentennial Man," $90,000,000"
97,"Jul 7, 2004",King Arthur," $90,000,000"
98,"Apr 25, 1997",Volcano," $90,000,000"
99,"Mar 26, 1997",The Devil's Own," $90,000,000"
