,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
16,3082,Modern Times,8500000,"[35, 18]",2014,8.3,1936-02-05,en,Modern Times,16.793
17,101,Léon: The Professional,45284974,"[80, 18, 28]",8789,8.3,1994-09-14,en,Léon: The Professional,24.288
18,25237,Come and See,0,"[18, 36, 10752]",412,8.3,1985-07-01,ru,Иди и смотри,13.367
19,807,Se7en,327311859,"[80, 9648, 53]",12154,8.3,1995-09-22,en,Se7en,27.857
0,531428,Portrait of a Lady on Fire,0,"[18, 10749]",337,8.3,2019-06-17,fr,Portrait de la jeune fille en feu,34.005
1,27205,Inception,825532764,"[28, 12, 878]",24665,8.3,2010-07-15,en,Inception,39.57
2,290098,The Handmaiden,37767206,"[18, 53, 10749]",1557,8.3,2016-06-01,ko,아가씨,19.915
3,895,Andrei Rublev,0,"[18, 36]",334,8.3,1966-12-16,ru,Андрей Рублёв,11.583
4,24188,Il Sorpasso,0,"[35, 18]",296,8.3,1962-12-04,it,Il sorpasso,9.018
5,274,The Silence of the Lambs,272742922,"[80, 18, 53, 27]",9659,8.3,1991-02-01,en,The Silence of the Lambs,5.221
6,121,The Lord of the Rings: The Two Towers,926287400,"[12, 14, 28]",13897,8.3,2002-12-18,en,The Lord of the Rings: The Two Towers,29.238
7,335,Once Upon a Time in the West,5321508,[37],2361,8.3,1968-12-21,it,C'era una volta il West,19.355
8,37257,Witness for the Prosecution,9000000,"[80, 18, 9648]",599,8.3,1957-12-17,en,Witness for the Prosecution,12.277
9,299534,Avengers: Endgame,2797800564,"[28, 12, 878]",11389,8.3,2019-04-24,en,Avengers: Endgame,38.57
10,1398,Stalker,0,"[18, 878]",888,8.3,1979-05-25,ru,Сталкер,13.187
11,24382,Big Deal on Madonna Street,0,"[35, 80]",326,8.3,1958-06-06,it,I soliti ignoti,9.8
12,490132,Green Book,319700000,"[35, 18]",5486,8.3,2018-11-16,en,Green Book,21.881
13,517814,Capernaum,64978931,[18],622,8.3,2018-10-06,ar,کفرناحوم,19.38
14,455661,In a Heartbeat,0,"[16, 35, 10749, 10751]",762,8.3,2017-06-01,en,In a Heartbeat,6.912
15,398818,Call Me by Your Name,41063475,"[10749, 18]",6112,8.3,2017-09-01,en,Call Me by Your Name,20.756
16,157336,Interstellar,675120017,"[12, 18, 878]",20995,8.3,2014-11-05,en,Interstellar,42.061
17,470044,The Hate U Give,29163535,"[80, 18]",969,8.3,2018-10-19,en,The Hate U Give,12.181
18,422,8½,0,"[14, 18]",1080,8.3,1963-02-14,it,8½,14.477
19,299536,Avengers: Infinity War,2046239637,"[28, 12, 878]",16897,8.3,2018-04-25,en,Avengers: Infinity War,84.768
0,446159,Bacurau,0,"[9648, 53, 37]",315,8.3,2019-08-29,pt,Bacurau,13.36
1,28,Apocalypse Now,150000000,"[18, 10752]",4584,8.3,1979-08-15,en,Apocalypse Now,22.847
2,378064,A Silent Voice,310407,"[18, 16, 10749]",1377,8.3,2016-09-17,ja,聲の形,13.315
3,8587,The Lion King,987483777,"[16, 18, 10751]",11693,8.3,1994-05-07,en,The Lion King,31.593
4,105,Back to the Future,381109762,"[12, 35, 878, 10751]",12362,8.3,1985-07-03,en,Back to the Future,25.038
5,284,The Apartment,25000000,"[35, 18, 10749]",1063,8.3,1960-06-15,en,The Apartment,11.819
6,10098,The Kid,2500000,"[35, 18]",999,8.3,1921-02-06,en,The Kid,11.372
7,5156,Bicycle Thieves,361712,[18],1118,8.2,1948-11-24,it,Ladri di biciclette,13.013
8,475557,Joker,1073698955,"[80, 18, 53]",9548,8.2,2019-10-02,en,Joker,98.649
9,426,Vertigo,28000000,"[9648, 53, 10749]",2947,8.2,1958-05-09,en,Vertigo,15.467
10,992,"Sherlock, Jr.",0,"[28, 35, 9648]",371,8.2,1924-04-19,en,"Sherlock, Jr.",13.501
11,77338,The Intouchables,426480871,"[35, 18]",11064,8.2,2011-11-02,fr,Intouchables,18.793
12,670,Oldboy,14980005,"[28, 18, 9648, 53]",4368,8.2,2003-11-21,ko,올드보이,21.717
13,1585,It's a Wonderful Life,9644124,"[18, 14, 10751]",2291,8.2,1946-12-20,en,It's a Wonderful Life,16.861
14,705,All About Eve,150438,[18],801,8.2,1950-10-06,en,All About Eve,9.603
15,110420,Wolf Children,0,"[16, 18, 14, 10751]",1218,8.2,2012-07-21,ja,おおかみこどもの雨と雪,17.374
16,490,The Seventh Seal,0,"[18, 14]",1391,8.2,1957-02-16,sv,Det sjunde inseglet,13.34
17,629,The Usual Suspects,23341568,"[18, 80, 53]",6322,8.2,1995-07-19,en,The Usual Suspects,17.927
18,19,Metropolis,650422,"[18, 878]",1371,8.2,1927-01-10,de,Metropolis,18.035
19,11,Star Wars,775398007,"[28, 12, 878]",12970,8.2,1977-05-25,en,Star Wars,41.11
0,185,A Clockwork Orange,26589000,"[18, 878]",7789,8.2,1971-12-18,en,A Clockwork Orange,20.022
1,406997,Wonder,0,[18],4667,8.2,2017-11-13,en,Wonder,23.794
2,538362,On My Skin,0,[18],1272,8.2,2018-08-29,it,Sulla mia pelle,9.821
3,354912,Coco,800526015,"[16, 10751, 35, 12, 14]",10352,8.2,2017-10-27,en,Coco,23.123
