,Date,Name,Budget
0,"Jul 16, 2018",Mission: ImpossibleâFallout," $178,000,000"
1,"May 18, 2016",X-Men: Apocalypse," $178,000,000"
2,"Aug 9, 2018",The Meg," $178,000,000"
3,"May 28, 2014",Edge of Tomorrow," $178,000,000"
4,"Mar 6, 2019",Captain Marvel," $175,000,000"
5,"Apr 7, 2016",The Jungle Book," $175,000,000"
6,"Jun 12, 2015",Inside Out," $175,000,000"
7,"Jul 5, 2017",Spider-Man: Homecoming," $175,000,000"
8,"Aug 2, 2016",Suicide Squad," $175,000,000"
9,"May 28, 2009",Up," $175,000,000"
10,"Oct 27, 2017",Coco," $175,000,000"
11,"Nov 21, 2018",Ralph Breaks The Internet," $175,000,000"
12,"Mar 27, 2009",Monsters vs. Aliens," $175,000,000"
13,"Jun 16, 2017",Cars 3," $175,000,000"
14,"Aug 7, 2009",G.I. Joe: The Rise of Cobra," $175,000,000"
15,"Jun 30, 1999",Wild Wild West," $175,000,000"
16,"Aug 1, 2008",The Mummy: Tomb of the Dragon Emperor," $175,000,000"
17,"Jun 22, 2007",Evan Almighty," $175,000,000"
18,"Jul 28, 1995",Waterworld," $175,000,000"
19,"Jan 8, 2020",Dolittle," $175,000,000"
20,"May 11, 2017",King Arthur: Legend of the Sword," $175,000,000"
21,"Dec 6, 2013",47 Ronin," $175,000,000"
22,"Jun 6, 2018",Jurassic World: Fallen Kingdom," $170,000,000"
23,"Jul 31, 2014",Guardians of the Galaxy," $170,000,000"
24,"May 7, 2010",Iron Man 2," $170,000,000"
25,"Mar 28, 2014",Captain America: The Winter Soldier," $170,000,000"
26,"Jul 9, 2014",Dawn of the Planet of the Apes," $170,000,000"
27,"Nov 10, 2004",The Polar Express," $170,000,000"
28,"May 30, 2012",Snow White and the Huntsman," $170,000,000"
29,"Jul 1, 2003",Terminator 3: Rise of the Machines," $170,000,000"
30,"May 7, 2004",Van Helsing," $170,000,000"
31,"Mar 27, 2019",Dumbo," $170,000,000"
32,"May 29, 2019",Godzilla: King of the Monsters," $170,000,000"
33,"May 20, 2015",Tomorrowland," $170,000,000"
34,"Feb 1, 2019",Alita: Battle Angel," $170,000,000"
35,"May 20, 2016",Alice Through the Looking Glass," $170,000,000"
36,"May 21, 2010",Shrek Forever After," $165,000,000"
37,"Oct 24, 2016",Doctor Strange," $165,000,000"
38,"Oct 25, 2014",Big Hero 6," $165,000,000"
39,"Mar 26, 2010",How to Train Your Dragon," $165,000,000"
40,"Nov 1, 2012",Wreck-It Ralph," $165,000,000"
41,"Nov 5, 2014",Interstellar," $165,000,000"
42,"Jun 22, 2016",Independence Day: Resurgence," $165,000,000"
43,"Jul 29, 2011",Cowboys and Aliens," $163,000,000"
44,"Mar 16, 2017",Beauty and the Beast," $160,000,000"
45,"Jun 27, 2019",Spider-Man: Far From Home," $160,000,000"
46,"Dec 6, 2018",Aquaman," $160,000,000"
47,"May 17, 2007",Shrek the Third," $160,000,000"
48,"Jul 16, 2010",Inception," $160,000,000"
49,"Nov 18, 2015",The Hunger Games: Mockingjay - Part 2," $160,000,000"
50,"May 24, 2013",Fast and Furious 6," $160,000,000"
51,"May 14, 2014",Godzilla," $160,000,000"
52,"Jun 3, 2011",X-Men: First Class," $160,000,000"
53,"Dec 25, 2008",The Curious Case of Benjamin Button," $160,000,000"
54,"Jul 14, 2010",The Sorcerer's Apprentice," $160,000,000"
55,"May 12, 2006",Poseidon," $160,000,000"
56,"May 25, 2016",Warcraft," $160,000,000"
57,"Nov 1, 2019",The Irishman," $159,000,000"
58,"Sep 29, 2016",Deepwater Horizon," $156,000,000"
59,"Dec 10, 2010",The Chronicles of Narnia: The Voyage of the Daw…," $155,000,000"
60,"Jun 24, 2015",Terminator: Genisys," $155,000,000"
61,"Mar 16, 2018",Pacific Rim: Uprising," $155,000,000"
62,"Nov 24, 2004",Alexander," $155,000,000"
63,"Jul 14, 2017",War for the Planet of the Apes," $152,000,000"
64,"May 25, 2001",Pearl Harbor," $151,500,000"
65,"Jul 2, 2007",Transformers," $151,000,000"
66,"Nov 20, 2019",Frozen II," $150,000,000"
67,"May 29, 2017",Wonder Woman," $150,000,000"
68,"Nov 22, 2013",Frozen," $150,000,000"
69,"Feb 10, 2016",Zootopia," $150,000,000"
70,"Jul 11, 2007",Harry Potter and the Order of the Phoenix," $150,000,000"
71,"Nov 18, 2005",Harry Potter and the Goblet of Fire," $150,000,000"
72,"May 15, 2003",The Matrix Reloaded," $150,000,000"
73,"Dec 14, 2007",I am Legend," $150,000,000"
74,"Jan 27, 2016",Moana," $150,000,000"
75,"Jul 1, 2008",Hancock," $150,000,000"
76,"Jun 15, 2005",Batman Begins," $150,000,000"
77,"Jul 15, 2005",Charlie and the Chocolate Factory," $150,000,000"
78,"Jun 29, 2007",Ratatouille," $150,000,000"
79,"Oct 30, 2013",Thor: The Dark World," $150,000,000"
80,"Jul 29, 2015",Mission: ImpossibleâRogue Nation," $150,000,000"
81,"Jul 18, 2017",Dunkirk," $150,000,000"
82,"Apr 29, 2011",Thor," $150,000,000"
83,"Nov 7, 2008",Madagascar: Escape 2 Africa," $150,000,000"
84,"May 1, 2009",X-Men Origins: Wolverine," $150,000,000"
85,"May 22, 2009",Night at the Museum: Battle of the Smithsonian," $150,000,000"
86,"May 26, 2011",Kung Fu Panda 2," $150,000,000"
87,"May 14, 2015",Mad Max: Fury Road," $150,000,000"
88,"May 3, 2019",PokÃ©mon: Detective Pikachu," $150,000,000"
89,"Nov 5, 2003",The Matrix Revolutions," $150,000,000"
90,"Mar 20, 2018",Ready Player One," $150,000,000"
91,"Nov 4, 2005",Chicken Little," $150,000,000"
92,"May 5, 2006",Mission: Impossible III," $150,000,000"
93,"May 15, 2009",Angels & Demons," $150,000,000"
94,"May 14, 2004",Troy," $150,000,000"
95,"Jul 1, 2010",The Last Airbender," $150,000,000"
96,"Nov 2, 2007",Bee Movie," $150,000,000"
97,"Jul 24, 2009",G-Force," $150,000,000"
98,"Nov 21, 2008",Bolt," $150,000,000"
99,"Mar 28, 2012",Wrath of the Titans," $150,000,000"
