,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
347,348,Cruel Intentions 2019 Re-release,"$445,218","$445,218",100%,-,-
348,349,What We Left Behind: Star Trek DS9,"$434,437","$382,457",88%,"$51,980",12%
349,350,Killing Sarai,"$425,332","$425,332",100%,-,-
350,351,Ben-Hur 2019 Re-release,"$422,622","$422,622",100%,-,-
351,352,The Cold Blue,"$420,177","$420,177",100%,-,-
352,353,The Reliant,"$408,747","$408,747",100%,-,-
353,354,"Hello, Dolly!","$400,881","$400,881",100%,-,-
354,355,The Wedding Guest,"$386,166","$386,166",100%,-,-
355,356,The Secret World of Arrietty 2019 Re-release,"$384,289","$384,289",100%,-,-
356,357,The Metropolitan Opera HD Live: Puccini: Turandot,"$375,295",-,-,"$375,295",100%
357,358,Ghostbusters 2019 Re-release,"$369,612","$369,612",100%,-,-
358,359,INXS: Baby Live at Wembly Stadium,"$366,425","$161,750",44.1%,"$204,675",55.9%
359,360,Lords of Chaos,"$365,353","$253,184",69.3%,"$112,169",30.7%
360,361,Clemency,"$364,716","$364,716",100%,-,-
361,362,Seberg,"$362,181","$261,690",72.3%,"$100,491",27.7%
362,363,K-12,"$359,377","$303,230",84.4%,"$56,147",15.6%
363,364,The Shawshank Redemption 2019 Re-release,"$358,507","$358,507",100%,-,-
364,365,The Tomorrow Man,"$354,103","$354,103",100%,-,-
365,366,Star Trek: The Motion Picture 2019 Re-release,"$346,243","$346,243",100%,-,-
366,367,Triple Threat,"$345,900","$76,289",22.1%,"$269,611",77.9%
367,368,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632","$271,489",80.2%,"$67,143",19.8%
368,369,Diane,"$336,166","$336,166",100%,-,-
369,370,First Love,"$335,413","$218,329",65.1%,"$117,084",34.9%
370,371,Freaks,"$335,050","$276,591",82.6%,"$58,459",17.4%
371,372,Anthropocene: The Human Epoch,"$334,162","$104,806",31.4%,"$229,356",68.6%
372,373,A Silent Voice: The Movie 2019 Re-release,"$333,984","$333,984",100%,-,-
373,374,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979","$328,979",100%,-,-
374,375,Lucy in the Sky,"$325,950","$319,976",98.2%,"$5,974",1.8%
375,376,Sword of Trust,"$323,369","$322,421",99.7%,$948,0.3%
376,377,Woodstock,"$320,610","$126,562",39.5%,"$194,048",60.5%
377,378,Meeting Gorbachev,"$319,537","$251,837",78.8%,"$67,700",21.2%
378,379,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-
379,380,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%
380,381,Josh Groban Bridges from Madison Square Garden,"$315,173","$315,173",100%,-,-
381,382,Bolshoi Ballet: The Sleeping Beauty,"$311,368","$311,368",100%,-,-
382,383,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%
383,384,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%
384,385,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%
385,386,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%
386,387,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-
387,388,Cunningham,"$291,591","$261,559",89.7%,"$30,032",10.3%
388,389,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%
389,390,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-
390,391,"A White, White Day","$286,268",-,-,"$286,268",100%
391,392,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-
392,393,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-
393,394,Octaman,"$280,710","$280,710",100%,-,-
394,395,See You Soon,"$277,126",-,-,"$277,126",100%
395,396,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-
396,397,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%
397,398,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%
398,399,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-
399,400,Out of Liberty,"$265,279","$265,279",100%,-,-
400,401,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%
401,402,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%
402,403,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-
403,404,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-
404,405,Canal Street,"$251,917","$251,917",100%,-,-
405,406,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-
406,407,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-
407,408,Forrest Gump 2019 Re-release,"$246,519","$203,088",82.4%,"$43,431",17.6%
408,409,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%
409,410,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%
410,411,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-
411,412,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%
412,413,Play the Flute,"$233,756","$233,756",100%,-,-
413,414,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-
414,415,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-
415,416,Varda by Agnès,"$229,909","$156,865",68.2%,"$73,044",31.8%
416,417,Ophelia,"$229,405","$50,722",22.1%,"$178,683",77.9%
417,418,Mine 9,"$226,421","$226,421",100%,-,-
418,419,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-
419,420,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-
420,421,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-
421,422,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-
422,423,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-
423,424,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%
