,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1
495,496,Heavy Water,"$99,503","$55,446",55.7%,"$44,057",44.3%
496,497,High Strung Free Dance 2019 Re-release,"$98,481","$83,891",85.2%,"$14,590",14.8%
497,498,Charlie Says,"$98,240","$40,685",41.4%,"$57,555",58.6%
498,499,Prassthanam,"$97,204","$19,984",20.6%,"$77,220",79.4%
499,500,QT8: The First Eight,"$96,887","$51,896",53.6%,"$44,991",46.4%
500,501,Saint Judy,"$96,212","$78,935",82%,"$17,277",18%
501,502,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-
502,503,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%
503,504,The Woman Who Loves Giraffes,"$94,533","$94,533",100%,-,-
504,505,Papi Chulo,"$94,321","$84,703",89.8%,"$9,618",10.2%
505,506,Mapplethorpe,"$91,002","$91,002",100%,-,-
506,507,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-
507,508,The Lumber Baron,"$88,336","$88,336",100%,-,-
508,509,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-
509,510,ECCO,"$86,858","$86,858",100%,-,-
510,511,Vault,"$86,630","$29,491",34%,"$57,139",66%
511,512,Cyrano de Bergerac,"$86,300","$86,300",100%,-,-
512,513,Skid Row Marathon,"$84,997","$84,997",100%,-,-
513,514,Woodstock,"$84,440","$84,440",100%,-,-
514,515,Prey,"$82,258",-,-,"$82,258",100%
515,516,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%
516,517,Ms. Purple,"$80,657","$80,657",100%,-,-
517,518,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%
518,519,End of the Century,"$78,892","$66,309",84.1%,"$12,583",15.9%
519,520,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-
520,521,Kind Hearts and Coronets 2019 Re-release,"$78,735","$33,888",43%,"$44,847",57%
521,522,Fast Colour,"$76,916","$76,916",100%,-,-
522,523,"Love, Antosha","$75,308","$50,168",66.6%,"$25,140",33.4%
523,524,5B,"$72,968","$72,968",100%,-,-
524,525,Greener Grass,"$71,838","$51,456",71.6%,"$20,382",28.4%
525,526,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-
526,527,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%
527,528,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%
528,529,Being Frank,"$67,343","$67,343",100%,-,-
529,530,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%
530,531,The Mountain,"$61,035","$61,035",100%,-,-
531,532,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-
532,533,The Disappearance of My Mother,"$56,821","$24,951",43.9%,"$31,870",56.1%
533,534,Notebook,"$56,166",-,-,"$56,166",100%
534,535,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%
535,536,Clinton Road,"$50,400","$50,400",100%,-,-
536,537,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%
537,538,Free Trip to Egypt,"$49,693","$49,693",100%,-,-
538,539,The Bounty Killer,"$48,815","$48,815",100%,-,-
539,540,The Queen,"$47,818","$47,818",100%,-,-
540,541,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%
541,542,High on the Hog,"$45,696","$45,696",100%,-,-
542,543,The Proposal,"$45,149","$45,149",100%,-,-
543,544,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%
544,545,What Is Democracy?,"$44,536","$44,536",100%,-,-
545,546,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-
546,547,Carmine Street Guitars,"$44,253","$44,253",100%,-,-
547,548,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%
548,549,Union,"$41,656","$41,656",100%,-,-
549,550,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%
550,551,Aniara,"$40,124","$40,124",100%,-,-
551,552,Zilla and Zoe,"$39,003","$39,003",100%,-,-
552,553,Shed of the Dead,"$38,901","$38,901",100%,-,-
553,554,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%
554,555,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%
555,556,What You Gonna Do When the World's on Fire?,"$37,195","$4,672",12.6%,"$32,523",87.4%
556,557,The Quiet One,"$37,010","$37,010",100%,-,-
557,558,The Death of Dick Long,"$36,856","$36,856",100%,-,-
558,559,Our Time,"$36,240","$14,777",40.8%,"$21,463",59.2%
559,560,Loro,"$35,613","$35,613",100%,-,-
560,561,Ága,"$35,178","$35,178",100%,-,-
561,562,Killer Unicorn,"$33,901","$33,901",100%,-,-
562,563,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-
563,564,An Acceptable Loss,"$32,427","$32,427",100%,-,-
564,565,10E,"$32,413","$32,413",100%,-,-
565,566,Shooting the Mafia,"$32,042","$10,881",34%,"$21,161",66%
566,567,Desolation Center,"$32,016","$32,016",100%,-,-
567,568,Gift,"$31,588","$31,588",100%,-,-
568,569,The Cat Rescuers,"$31,540","$31,540",100%,-,-
569,570,Buddy,"$31,203","$31,203",100%,-,-
570,571,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-
571,572,Los Reyes,"$30,418","$30,418",100%,-,-
572,573,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-
573,574,The Perfect Race,"$29,644","$29,644",100%,-,-
574,575,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-
575,576,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%
576,577,The Load,"$28,410","$28,410",100%,-,-
577,578,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-
578,579,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%
579,580,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-
580,581,Wrestle,"$26,597","$26,597",100%,-,-
581,582,Rosie,"$26,441","$6,839",25.9%,"$19,602",74.1%
582,583,Donnybrook,"$26,284","$26,284",100%,-,-
583,584,Hyènes,"$24,672","$24,672",100%,-,-
584,585,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%
585,586,Chasing Einstein,"$24,057","$24,057",100%,-,-
586,587,Robert the Bruce,"$23,425",-,-,"$23,425",100%
587,588,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%
588,589,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%
589,590,Wicked Witches,"$21,600","$21,600",100%,-,-
590,591,Round of Your Life,"$20,941","$20,941",100%,-,-
591,592,General Magic,"$20,046","$20,046",100%,-,-
592,593,The Gospel of Eureka,"$20,039","$20,039",100%,-,-
593,594,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-
594,595,Before Stonewall,"$18,724","$18,724",100%,-,-
595,596,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-
596,597,"Phoenix, Oregon","$18,356","$18,356",100%,-,-
597,598,The Cranes Are Flying,"$17,923","$17,923",100%,-,-
598,599,Chained for Life,"$17,431","$17,431",100%,-,-
599,600,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-
600,601,Virginia Minnesota,"$16,118","$16,118",100%,-,-
601,602,Starfish,"$15,849","$15,849",100%,-,-
602,603,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-
603,604,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-
604,605,Stuffed,"$15,532","$15,532",100%,-,-
605,606,Between the Lines,"$15,383","$15,383",100%,-,-
606,607,Funan,"$15,152","$15,152",100%,-,-
607,608,Wrinkles the Clown,"$14,938","$14,938",100%,-,-
608,609,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-
609,610,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-
610,611,Combat Obscura,"$14,242","$14,242",100%,-,-
611,612,Screwball,"$13,967","$13,967",100%,-,-
612,613,Genesis,"$13,856","$6,784",49%,"$7,072",51%
613,614,This One's for the Ladies,"$13,688","$13,688",100%,-,-
614,615,Rapid Response,"$13,294","$13,294",100%,-,-
615,616,Off Season,"$12,544","$12,544",100%,-,-
616,617,Bricked,"$12,201","$12,201",100%,-,-
617,618,Zen for Nothing,"$12,107","$12,107",100%,-,-
618,619,Imprisoned,"$12,050","$12,050",100%,-,-
619,620,Quartet,"$12,042","$12,042",100%,-,-
620,621,"Cassandro, The Exotico!","$11,897","$11,897",100%,-,-
621,622,In Like Flynn,"$11,255","$11,255",100%,-,-
622,623,Made Me Do It,"$11,151","$11,151",100%,-,-
623,624,Suburban Birds,"$10,997","$10,997",100%,-,-
624,625,If the Dancer Dances,"$10,912","$10,912",100%,-,-
625,626,Vision Portraits,"$10,771","$10,771",100%,-,-
626,627,When Lambs Become Lions,"$10,197","$9,337",91.6%,$860,8.4%
627,628,Olivia,"$9,934","$9,934",100%,-,-
628,629,Streetwise,"$9,904","$9,904",100%,-,-
629,630,The Spanish Prisoner 2019 Re-release,"$9,589","$9,589",100%,-,-
630,631,Fritz Lang's Indian Epic 2019 re-release,"$9,345","$9,345",100%,-,-
631,632,A Dark Place,"$9,212",-,-,"$9,212",100%
632,633,Cracked Up,"$9,197","$9,197",100%,-,-
633,634,Frantz Fanon: Black Skin White Mask,"$9,025","$9,025",100%,-,-
634,635,The Meanest Man in Texas,"$8,850","$8,850",100%,-,-
635,636,That Part Feeling - the Universe of Arvo Part,"$8,812","$8,812",100%,-,-
636,637,The Dead Center,"$8,320","$8,320",100%,-,-
637,638,Angels Are Made Of Light,"$7,919","$7,919",100%,-,-
638,639,This Magnificent Cake!,"$7,888","$7,888",100%,-,-
639,640,Ghost Fleet,"$7,850","$7,850",100%,-,-
640,641,The Plagiarists,"$7,768","$7,768",100%,-,-
641,642,Gregory's Girl,"$7,710","$7,710",100%,-,-
642,643,I'll Take Your Dead,"$7,692","$7,692",100%,-,-
643,644,Beloved Beast,"$7,301","$7,301",100%,-,-
644,645,Dying to Survive 2019 Re-release,"$6,752","$6,752",100%,-,-
645,646,Under the Eiffel Tower,"$6,291","$6,291",100%,-,-
646,647,Relaxer,"$6,133","$6,133",100%,-,-
647,648,Série noire,"$5,633","$5,633",100%,-,-
648,649,The Miracle of the Little Prince,"$5,553","$5,553",100%,-,-
649,650,Chokehold,"$5,200","$5,200",100%,-,-
650,651,The Gliksmans,"$5,166","$5,166",100%,-,-
651,652,100 Acres of Hell,"$5,152","$5,152",100%,-,-
652,653,Body at Brighton Rock,"$5,123","$5,123",100%,-,-
653,654,Chulas Fronteras,"$5,021","$5,021",100%,-,-
654,655,The Garden,"$5,006","$5,006",100%,-,-
655,656,Malek,"$4,898","$4,898",100%,-,-
656,657,I'm Leaving Now,"$4,488","$4,488",100%,-,-
657,658,SGT. Will Gardner,"$4,405","$4,405",100%,-,-
658,659,Tito and the Birds,"$4,332","$4,332",100%,-,-
659,660,The Fate of Lee Khan,"$4,295","$4,295",100%,-,-
660,661,State Like Sleep,"$4,282","$4,282",100%,-,-
661,662,La Flor,"$4,032","$4,032",100%,-,-
662,663,Mother of a Day,"$3,919","$3,919",100%,-,-
663,664,Wallflower,"$3,801","$3,801",100%,-,-
664,665,The Wandering Soap Opera,"$3,624","$3,624",100%,-,-
665,666,Rottentail,"$3,383","$3,383",100%,-,-
666,667,Chasing Portraits,"$3,076","$3,076",100%,-,-
667,668,Back to the Fatherland,"$2,697","$2,697",100%,-,-
668,669,Joan the Maid 1: The Battles,"$2,562","$2,562",100%,-,-
669,670,TINY: The Life of Erin Blackwell,"$2,465","$2,465",100%,-,-
670,671,I Lost Albert 2019 Re-release,"$2,354","$2,354",100%,-,-
671,672,A German Youth,"$2,343","$2,343",100%,-,-
672,673,Serendipity,"$2,298","$2,298",100%,-,-
673,674,Jihadists,"$2,104","$2,104",100%,-,-
674,675,Jimi Hendrix Electric Church,"$1,818",-,-,"$1,818",100%
675,676,Game Day,"$1,624","$1,624",100%,-,-
676,677,The Hours and Times,"$1,273","$1,273",100%,-,-
677,678,The Untold Story,$790,$790,100%,-,-
678,679,The Portal,$685,-,-,$685,100%
