,Date,Name,Budget
0,"Mar 13, 2014",Need for Speed," $66,000,000"
1,"Jul 24, 1998",Saving Private Ryan," $65,000,000"
2,"Dec 15, 2000",What Women Want," $65,000,000"
3,"Nov 9, 2012",Lincoln," $65,000,000"
4,"Mar 15, 2002",Ice Age," $65,000,000"
5,"Jun 30, 1995",Apollo 13," $65,000,000"
6,"Mar 31, 1999",The Matrix," $65,000,000"
7,"Jun 22, 2018",Hotel Transylvania 3: Summer Vacation," $65,000,000"
8,"Dec 19, 2012",Les MisÃ©rables," $65,000,000"
9,"Nov 1, 2002",The Santa Clause 2," $65,000,000"
10,"Jun 1, 1990",Total Recall," $65,000,000"
11,"Dec 18, 1998",You've Got Mail," $65,000,000"
12,"Dec 25, 2014",Unbroken," $65,000,000"
13,"May 21, 2015",Spy!," $65,000,000"
14,"Nov 5, 2010",Due Date," $65,000,000"
15,"Jul 25, 2008",Step Brothers," $65,000,000"
16,"Dec 15, 1995",Jumanji," $65,000,000"
17,"Jul 17, 1998",The Mask of Zorro," $65,000,000"
18,"Aug 4, 2000",Space Cowboys," $65,000,000"
19,"Dec 18, 2014",Annie," $65,000,000"
20,"May 28, 1993",Cliffhanger," $65,000,000"
21,"Aug 10, 2016",Peteâs Dragon," $65,000,000"
22,"Feb 9, 1996",Broken Arrow," $65,000,000"
23,"Aug 9, 2006",World Trade Center," $65,000,000"
24,"Jul 7, 2000",The Kid," $65,000,000"
25,"Dec 19, 2003",Mona Lisa Smile," $65,000,000"
26,"May 16, 2012",The Dictator," $65,000,000"
27,"Jul 16, 1999",Eyes Wide Shut," $65,000,000"
28,"Feb 16, 2012",This Means War," $65,000,000"
29,"Feb 26, 2015",Focus," $65,000,000"
30,"Dec 8, 2004",Blade: Trinity," $65,000,000"
31,"Nov 21, 2012",Red Dawn," $65,000,000"
32,"Dec 22, 2006",We Are Marshall," $65,000,000"
33,"Aug 17, 2015",Everest," $65,000,000"
34,"Sep 12, 2012",Resident Evil: Retribution," $65,000,000"
35,"Aug 2, 2019",The Angry Birds Movie 2," $65,000,000"
36,"Mar 20, 1998",Primary Colors," $65,000,000"
37,"Oct 15, 1999",Fight Club," $65,000,000"
38,"Aug 22, 2008",Death Race," $65,000,000"
39,"Oct 11, 1996",The Long Kiss Goodnight," $65,000,000"
40,"Dec 8, 2000",Proof of Life," $65,000,000"
41,"Nov 11, 2005",Zathura," $65,000,000"
42,"Nov 26, 2003",The Missing," $65,000,000"
43,"Jan 14, 2005",Elektra," $65,000,000"
44,"Oct 23, 2009",Astro Boy," $65,000,000"
45,"Jan 24, 2014","I, Frankenstein"," $65,000,000"
46,"Nov 29, 2019",Underwater," $65,000,000"
47,"May 24, 1991",Hudson Hawk," $65,000,000"
48,"Aug 22, 2014",Sin City: A Dame to Kill For," $65,000,000"
49,"Dec 25, 2016",Live by Night," $65,000,000"
50,"Oct 27, 2000",Lucky Numbers," $65,000,000"
51,"Sep 23, 2005",Oliver Twist," $65,000,000"
52,"Feb 18, 2015",Tian jiang xiong shi," $65,000,000"
53,"Oct 26, 2018",Air Strike," $65,000,000"
54,"Jul 14, 2006",Little Man," $64,000,000"
