,Date,Name,Budget
0,"Aug 7, 2019",PLAYMOBIL," $75,000,000"
1,"Jan 15, 2021",355," $75,000,000"
2,"Jun 17, 2015",Minions," $74,000,000"
3,"Jan 28, 2015",The SpongeBob Movie: Sponge Out of Water," $74,000,000"
4,"Nov 22, 2000",Unbreakable," $73,243,106"
5,"Aug 4, 2006",Talladega Nights: The Ballad of Ricky Bobby," $73,000,000"
6,"May 11, 2016",The Angry Birds Movie," $73,000,000"
7,"Aug 7, 1998",Snake Eyes," $73,000,000"
8,"Feb 13, 1998",Sphere," $73,000,000"
9,"Jul 27, 2007",The Simpsons Movie," $72,500,000"
10,"Feb 8, 2008",Fool's Gold," $72,500,000"
11,"Jul 31, 2009",Funny People," $72,500,000"
12,"Sep 28, 2007",The Kingdom," $72,500,000"
13,"Jun 22, 2001",Dr. Dolittle 2," $72,000,000"
14,"May 24, 1995",Braveheart," $72,000,000"
15,"Nov 4, 2005",Jarhead," $72,000,000"
16,"Apr 27, 2001",Driven," $72,000,000"
17,"Dec 21, 2001",The Majestic," $72,000,000"
18,"Jun 25, 2004",Two Brothers," $72,000,000"
19,"Jul 30, 2004",The Village," $71,682,975"
20,"Jun 26, 1998",Doctor Dolittle," $71,500,000"
21,"Aug 2, 2002",Signs," $70,702,619"
22,"May 19, 2004",Shrek 2," $70,000,000"
23,"May 1, 2006",Cars," $70,000,000"
24,"Dec 23, 2009",Alvin and the Chipmunks: The Squeakquel," $70,000,000"
25,"Sep 4, 2019",It: Chapter Two," $70,000,000"
26,"Jun 22, 1988",Who Framed Roger Rabbit?," $70,000,000"
27,"Jul 30, 1999",Runaway Bride," $70,000,000"
28,"Aug 9, 2002",xXx," $70,000,000"
29,"Jun 8, 2018",Oceanâs 8," $70,000,000"
30,"Nov 8, 1996",Ransom," $70,000,000"
31,"Aug 21, 2009",Inglourious Basterds," $70,000,000"
32,"Dec 11, 1991",Hook," $70,000,000"
33,"Jul 3, 1990",Die Hard 2," $70,000,000"
34,"Aug 8, 2003",S.W.A.T.," $70,000,000"
35,"Nov 10, 2017",Daddyâs Home 2," $70,000,000"
36,"Nov 19, 1999",Sleepy Hollow," $70,000,000"
37,"Dec 14, 2001",Vanilla Sky," $70,000,000"
38,"Jun 13, 1997",Hercules," $70,000,000"
39,"Mar 20, 2013",Olympus Has Fallen," $70,000,000"
40,"Mar 11, 2011",Battle: Los Angeles," $70,000,000"
41,"Aug 13, 2004",AVP: Alien Vs. Predator," $70,000,000"
42,"Dec 25, 2011",War Horse," $70,000,000"
43,"Mar 1, 2002",We Were Soldiers," $70,000,000"
44,"Feb 7, 2014",The Monuments Men," $70,000,000"
45,"Sep 22, 2016",Storks," $70,000,000"
46,"Dec 11, 1998",Star Trek: Insurrection," $70,000,000"
47,"Dec 10, 2003",Big Fish," $70,000,000"
48,"Jun 17, 1994",Wolf," $70,000,000"
49,"Jan 20, 2012",Underworld: Awakening," $70,000,000"
50,"Sep 15, 2017",The Lego Ninjago Movie," $70,000,000"
51,"Oct 1, 2014",Dracula Untold," $70,000,000"
52,"Sep 29, 2006",The Guardian," $70,000,000"
53,"Aug 9, 1989",The Abyss," $70,000,000"
54,"Sep 24, 2010",Wall Street 2: Money Never Sleeps," $70,000,000"
55,"Jan 14, 2011",The Dilemma," $70,000,000"
56,"Dec 25, 2005",Rumor Has It," $70,000,000"
57,"Nov 6, 1998",The Siege," $70,000,000"
58,"Aug 10, 2007",Stardust," $70,000,000"
59,"Jun 13, 2012",Rock of Ages," $70,000,000"
60,"Oct 8, 1997",Seven Years in Tibet," $70,000,000"
61,"Sep 17, 2004",Sky Captain and the World of Tomorrow," $70,000,000"
62,"Sep 14, 2007",The Brave One," $70,000,000"
63,"Nov 1, 2002",I Spy," $70,000,000"
64,"Jun 7, 2002",Bad Company," $70,000,000"
65,"Oct 21, 2005",Doom," $70,000,000"
66,"Jan 27, 2016",The Finest Hours," $70,000,000"
67,"Oct 10, 2013",Escape Plan," $70,000,000"
68,"Sep 23, 2011",Killer Elite," $70,000,000"
69,"Jan 16, 1998",Hard Rain," $70,000,000"
70,"Feb 15, 2002",Hart's War," $70,000,000"
71,"Feb 8, 2002",Rollerball," $70,000,000"
72,"Jan 10, 2014",The Legend of Hercules," $70,000,000"
73,"Apr 27, 2007",Next," $70,000,000"
74,"Sep 20, 2002",Ballistic: Ecks vs. Sever," $70,000,000"
75,"Aug 10, 2001",Osmosis Jones," $70,000,000"
76,"May 9, 2014",Legends of Oz: Dorothyâs Return," $70,000,000"
77,"Jan 16, 2015",Blackhat," $70,000,000"
78,"Mar 31, 2006",Basic Instinct 2," $70,000,000"
79,"May 28, 2010",Agora," $70,000,000"
80,"Jul 9, 2010",Despicable Me," $69,000,000"
81,"Jul 30, 2010",Dinner for Schmucks," $69,000,000"
82,"Feb 28, 2018",Red Sparrow," $69,000,000"
83,"Jun 30, 2010",The Twilight Saga: Eclipse," $68,000,000"
84,"May 31, 2002",The Sum of All Fears," $68,000,000"
85,"Jun 25, 2015",Ted 2," $68,000,000"
86,"Jul 13, 2001",The Score," $68,000,000"
87,"Feb 25, 2011",Hall Pass," $68,000,000"
88,"Nov 22, 1995",Money Train," $68,000,000"
89,"Mar 21, 2003",Dreamcatcher," $68,000,000"
90,"Aug 6, 1999",Mystery Men," $68,000,000"
91,"Nov 5, 1999",The Insider," $68,000,000"
92,"Dec 22, 2017",Downsizing," $68,000,000"
93,"Mar 1, 2012",Doctor Seuss' The Lorax," $67,500,000"
94,"Oct 10, 2008",Body of Lies," $67,500,000"
95,"Jun 20, 2012",Abraham Lincoln: Vampire Hunter," $67,500,000"
96,"Sep 20, 1996",Last Man Standing," $67,000,000"
97,"Aug 17, 2007",The Last Legion," $67,000,000"
98,"Apr 30, 1999",Entrapment," $66,000,000"
99,"Jun 19, 1998",The X Files: Fight the Future," $66,000,000"
