,Date,Name,Budget
0,"Jul 19, 2002",K-19: The Widowmaker," $90,000,000"
1,"Aug 19, 2011",Conan the Barbarian," $90,000,000"
2,"Oct 21, 2011",The Three Musketeers," $90,000,000"
3,"Apr 21, 2017",The Promise," $90,000,000"
4,"Nov 24, 2010",The Nutcracker in 3D," $90,000,000"
5,"Dec 13, 2017",Bright," $90,000,000"
6,Unknown,Army of the Dead," $90,000,000"
7,"May 10, 1996",Twister," $88,000,000"
8,"Jun 3, 2005",Cinderella Man," $88,000,000"
9,"Sep 11, 2018",The Predator," $88,000,000"
10,"Jul 8, 2005",Fantastic Four," $87,500,000"
11,"Feb 9, 2001",Hannibal," $87,000,000"
12,"Jul 25, 2003",Seabiscuit," $86,000,000"
13,"Dec 22, 2000",Cast Away," $85,000,000"
14,"Nov 17, 2006",Happy Feet," $85,000,000"
15,"Dec 7, 2001",Ocean's Eleven," $85,000,000"
16,"Jul 23, 2004",The Bourne Supremacy," $85,000,000"
17,"Jul 25, 1997",Air Force One," $85,000,000"
18,"Apr 3, 2009",Fast & Furious," $85,000,000"
19,"Mar 14, 2008",Horton Hears a Who," $85,000,000"
20,"Mar 21, 2014",Divergent," $85,000,000"
21,"Sep 27, 2012",Hotel Transylvania," $85,000,000"
22,"Apr 3, 2019",Shazam!," $85,000,000"
23,"Nov 21, 2007",Enchanted," $85,000,000"
24,"Feb 8, 2012",Safe House," $85,000,000"
25,"Jul 20, 2007",I Now Pronounce You Chuck and Larry," $85,000,000"
26,"Jun 8, 2007",Ocean's Thirteen," $85,000,000"
27,"Dec 25, 2009",Itâs Complicated," $85,000,000"
28,"Nov 20, 1998",Enemy of the State," $85,000,000"
29,"Sep 29, 2006",Open Season," $85,000,000"
30,"Nov 4, 2011",Tower Heist," $85,000,000"
31,"Nov 22, 2000",102 Dalmatians," $85,000,000"
32,"Mar 15, 2012",Mirror Mirror," $85,000,000"
33,"Dec 8, 2006",The Holiday," $85,000,000"
34,"Jun 16, 2006",The Fast and the Furious: Tokyo Drift," $85,000,000"
35,"Dec 9, 2005",Memoirs of a Geisha," $85,000,000"
36,"Mar 16, 2001",Enemy at the Gates," $85,000,000"
37,"Jun 18, 1993",Last Action Hero," $85,000,000"
38,"Sep 26, 2003",The Rundown," $85,000,000"
39,"Nov 11, 2011",Arthur Christmas," $85,000,000"
40,"Jan 19, 2017",xXx: Return of Xander Cage," $85,000,000"
41,"Nov 13, 1998",Meet Joe Black," $85,000,000"
42,"Jul 30, 2010",Cats & Dogs: The Revenge of Kitty Galore," $85,000,000"
43,"Feb 8, 2002",Collateral Damage," $85,000,000"
44,"Mar 15, 2002",Showtime," $85,000,000"
45,"Jun 30, 1995",Judge Dredd," $85,000,000"
46,"Mar 2, 2007",Zodiac," $85,000,000"
47,"Aug 13, 2010",Scott Pilgrim vs. The World," $85,000,000"
48,"Mar 28, 2003",The Core," $85,000,000"
49,"May 9, 1997",Father's Day," $85,000,000"
50,"Dec 11, 2017",The Greatest Showman," $84,000,000"
51,"Jun 14, 2002",Scooby-Doo," $84,000,000"
52,"Jul 28, 2000",Nutty Professor II: The Klumps," $84,000,000"
53,"Jul 19, 2013",RED 2," $84,000,000"
54,"Jun 23, 2006",Click," $82,500,000"
55,"Dec 15, 2006",Charlotte's Web," $82,500,000"
56,"Feb 14, 2008",Jumper," $82,500,000"
57,"Jul 11, 2008",Hellboy II: The Golden Army," $82,500,000"
58,"May 27, 2005",The Longest Yard," $82,000,000"
59,"Aug 13, 2010",The Expendables," $82,000,000"
60,"Feb 5, 2020",Birds of Prey (And the Fantabulous Emancipation…," $82,000,000"
61,"Nov 17, 2000",The 6th Day," $82,000,000"
62,"May 23, 2003",Bruce Almighty," $81,000,000"
63,"Mar 8, 2012",The Hunger Games," $80,000,000"
64,"May 26, 2011",The Hangover Part II," $80,000,000"
65,"May 21, 1996",Mission: Impossible," $80,000,000"
66,"Feb 2, 2017",The Lego Batman Movie," $80,000,000"
67,"Sep 23, 2015",Hotel Transylvania 2," $80,000,000"
68,"Jun 18, 1992",Batman Returns," $80,000,000"
69,"May 24, 2019",The Secret Life of Pets 2," $80,000,000"
70,"May 7, 1999",The Mummy," $80,000,000"
71,"May 19, 2006",Over the Hedge," $80,000,000"
72,"Jun 21, 2002",Lilo & Stitch," $80,000,000"
73,"May 8, 1998",Deep Impact," $80,000,000"
74,"Jul 12, 2013",Grown Ups 2," $80,000,000"
75,"Dec 14, 2011",Alvin and the Chipmunks: Chipwrecked," $80,000,000"
76,"Jun 20, 2008",Get Smart," $80,000,000"
77,"Mar 11, 2005",Robots," $80,000,000"
78,"Feb 19, 2010",Shutter Island," $80,000,000"
79,"Dec 12, 2003",Something's Gotta Give," $80,000,000"
80,"Nov 26, 2008",Four Christmases," $80,000,000"
81,"Jun 27, 1997",Face/Off," $80,000,000"
82,"Dec 25, 2008",Bedtime Stories," $80,000,000"
83,"Jul 12, 2002",Road to Perdition," $80,000,000"
84,"Feb 11, 2011",Just Go With It," $80,000,000"
85,"Feb 14, 2003",Daredevil," $80,000,000"
86,"Sep 26, 2008",Eagle Eye," $80,000,000"
87,"Jun 6, 1997",Con Air," $80,000,000"
88,"Dec 17, 2010",Yogi Bear," $80,000,000"
89,"Dec 25, 2003",Cold Mountain," $80,000,000"
90,"Jan 15, 2010",The Book of Eli," $80,000,000"
91,"Nov 26, 1997",Flubber," $80,000,000"
92,"Jul 23, 1999",The Haunting," $80,000,000"
93,"Nov 15, 1996",Space Jam," $80,000,000"
94,"Oct 17, 2014",Fury," $80,000,000"
95,"Sep 21, 2018",Smallfoot," $80,000,000"
96,"Feb 10, 2006",The Pink Panther," $80,000,000"
97,"Jul 8, 2011",Zookeeper," $80,000,000"
98,"Dec 12, 2008",The Day the Earth Stood Still," $80,000,000"
99,"Aug 8, 1997",Conspiracy Theory," $80,000,000"
