,id,film,revenue,genres,vote_count,vote_average,release_date,original_language,orijinal_title,popularity
0,140607,Star Wars: The Force Awakens,2068223624,"[28, 12, 14, 878]",13858,7.4,2015-12-15,en,Star Wars: The Force Awakens,27.683
1,135397,Jurassic World,1671713208,"[28, 12, 878, 53]",15079,6.6,2015-06-06,en,Jurassic World,28.41
2,168259,Furious 7,1506249360,"[28, 53]",7134,7.3,2015-04-01,en,Furious 7,25.372
3,99861,Avengers: Age of Ultron,1405403694,"[28, 12, 878]",15090,7.3,2015-04-22,en,Avengers: Age of Ultron,36.797
4,211672,Minions,1156730962,"[12, 16, 35, 10751]",7779,6.4,2015-06-17,en,Minions,14.139
5,206647,Spectre,880674609,"[28, 12, 80]",7278,6.4,2015-10-26,en,Spectre,36.439
6,150540,Inside Out,857611174,"[16, 35, 18, 10751]",14176,7.9,2015-06-09,en,Inside Out,38.818
7,177677,Mission: Impossible - Rogue Nation,682330139,"[28, 12]",5757,7.1,2015-07-23,en,Mission: Impossible - Rogue Nation,25.96
8,131634,The Hunger Games: Mockingjay - Part 2,653428261,"[28, 12, 878]",8307,6.9,2015-11-18,en,The Hunger Games: Mockingjay - Part 2,20.449
9,286217,The Martian,630161890,"[12, 18, 878]",13431,7.7,2015-09-30,en,The Martian,29.188
10,216015,Fifty Shades of Grey,571006128,"[18, 53, 10749]",7068,5.5,2015-02-11,en,Fifty Shades of Grey,26.357
11,150689,Cinderella,543514353,"[18, 14, 10749, 10751]",5040,6.7,2015-03-12,en,Cinderella,29.828
12,281957,The Revenant,532950503,"[37, 18, 12]",12337,7.5,2015-12-25,en,The Revenant,23.05
13,102899,Ant-Man,519311965,"[28, 12, 878]",13342,7.1,2015-07-14,en,Ant-Man,31.259
14,159824,Hotel Transylvania 2,473226958,"[16, 35, 14, 10751]",3551,6.7,2015-09-21,en,Hotel Transylvania 2,18.285
15,254128,San Andreas,470490832,"[28, 18, 53]",5636,6.1,2015-05-27,en,San Andreas,30.332
16,87101,Terminator Genisys,440603537,"[878, 28, 53, 12]",5841,5.9,2015-06-23,en,Terminator Genisys,45.374
17,76341,Mad Max: Fury Road,378858340,"[28, 12, 878]",15697,7.5,2015-05-13,en,Mad Max: Fury Road,20.357
18,228161,Home,368871007,"[16, 35, 14, 878, 10751]",2598,6.8,2015-03-18,en,Home,14.35
19,105864,The Good Dinosaur,331926147,"[12, 16, 10751]",3491,6.7,2015-11-14,en,The Good Dinosaur,18.998
