,Date,Name,Budget
80,"May 25, 1994",Beverly Hills Cop III," $50,000,000"
81,"Jun 15, 1990",Gremlins 2: The New Batch," $50,000,000"
82,"Sep 26, 1997",The Peacemaker," $50,000,000"
83,"Oct 3, 2003",Out of Time," $50,000,000"
84,"Nov 12, 2004",Bridget Jones: The Edge Of Reason," $50,000,000"
85,"Feb 11, 2000",The Beach," $50,000,000"
86,"Jun 10, 2005",The Adventures of Sharkboy and Lavagirl in 3-D," $50,000,000"
87,"Feb 18, 1994",On Deadly Ground," $50,000,000"
88,"Nov 25, 2009",Ninja Assassin," $50,000,000"
89,"May 28, 2004",Raising Helen," $50,000,000"
90,"May 19, 2016",The Nice Guys," $50,000,000"
91,"Sep 17, 1999",For Love of the Game," $50,000,000"
92,"Dec 11, 1998",Jack Frost," $50,000,000"
93,"Jun 4, 2010",Marmaduke," $50,000,000"
94,"Jun 28, 1996",Striptease," $50,000,000"
95,"Oct 15, 2010",Hereafter," $50,000,000"
96,"Apr 19, 2002",Murder by Numbers," $50,000,000"
97,"Oct 6, 1995",Assassins," $50,000,000"
98,"Dec 22, 2017",Hostiles," $50,000,000"
99,"Feb 5, 2016",Zoolander 2," $50,000,000"
