,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
3242,Marrowbone,,,,,,,,,,188.0,"$12,294,931","$1,377",<0.1%,"$12,293,554",100%,Marrowbone
3243,Mars Attacks!,,,,,,,,"Dec 13, 1996"," $80,000,000",," $101,371,017"," $37,771,017",,,,Mars Attacks!
3244,Mars Needs Moms,,,,,,,,"Mar 11, 2011"," $150,000,000",," $39,549,758"," $21,392,758",,,,Mars Needs Moms
3245,Marshall,False,[Drama],en,10.452,2017-10-13,7.4,296.0,,,198.0,"$10,116,816","$10,051,659",99.4%,"$65,157",0.6%,Marshall
3246,Martyrs,False,"[Drama, Horror, Thriller]",fr,8.566,2008-09-03,7.4,1290.0,,,,,,,,,Martyrs
3247,Marvel One-Shot: Agent Carter,False,"[Action, Adventure, Science Fiction, Fantasy]",en,10.554,2013-09-08,7.5,386.0,,,,,,,,,Marvel One-Shot: Agent Carter
3248,Mary Magdalene 2019 Re-release,,,,,,,,,,483.0,"$124,741","$124,741",100%,-,-,Mary Magdalene 2019 Re-release
3249,Mary Poppins,False,"[Comedy, Family, Fantasy]",en,13.284,1964-08-27,7.6,3044.0,,,,,,,,,Mary Poppins
3250,Mary Poppins Returns,,,,,,,,"Dec 19, 2018"," $130,000,000",29.0,"$349,537,494","$171,958,438",49.2%,"$177,579,056",50.8%,Mary Poppins Returns
3251,Mary Queen of Scots,,,,,,,,,,108.0,"$46,710,283","$16,468,499",35.3%,"$30,241,784",64.7%,Mary Queen of Scots
3252,Mary Reilly,,,,,,,,"Feb 23, 1996"," $47,000,000",," $12,900,000"," $5,707,094",,,,Mary Reilly
3253,Mary Shelley,,,,,,,,,,325.0,"$2,096,600","$108,900",5.2%,"$1,987,700",94.8%,Mary Shelley
3254,Mary and Max,False,"[Animation, Comedy, Drama]",en,8.834,2009-02-09,7.9,1086.0,,,,,,,,,Mary and Max
3255,Mary and the Witch's Flower,,,,,,,,,,118.0,"$41,978,431","$2,418,404",5.8%,"$39,560,027",94.2%,Mary and the Witch's Flower
3256,Mask,False,[Drama],en,8.482000000000001,1985-03-08,7.2,206.0,,,,,,,,,Mask
3257,Massacre on Aisle 12,,,,,,,,,,627.0,"$21,106","$21,106",100%,-,-,Massacre on Aisle 12
3258,Master,,,,,,,,,,113.0,"$51,636,415","$597,251",1.2%,"$51,039,164",98.8%,Master
3259,Master Z: The Ip Man Legacy,,,,,,,,,,155.0,"$21,832,649","$209,454",1%,"$21,623,195",99%,Master Z: The Ip Man Legacy
3260,Master and Commander: The Far Side of the World,False,"[Adventure, Drama, War]",en,20.27,2003-11-14,7.1,1703.0,"Nov 14, 2003"," $135,000,000",," $212,912,137"," $93,926,386",,,,Master and Commander: The Far Side of the World
