,title,adult,genre_ids,original_language,popularity,release_date,vote_average,vote_count,Date,Budget,Rank,Worldwide,Domestic,%,Foreign,%.1,Title
0,'85: The Greatest Team in Football History,,,,,,,,,,606.0,"$124,573","$124,573",100%,-,-,'85: The Greatest Team in Football History
1,*batteries not included,False,"[Comedy, Family, Science Fiction, Fantasy]",en,11.802,1987-12-18,6.5,385.0,,,,,,,,,*batteries not included
2,10,False,"[Comedy, Romance]",en,7.937,1979-10-04,5.7,116.0,,,,,,,,,10
3,10 Cloverfield Lane,,,,,,,,,,73.0,"$110,216,998","$72,082,998",65.4%,"$38,134,000",34.6%,10 Cloverfield Lane
4,10 Days in a Madhouse,,,,,,,,,,628.0,"$14,616","$14,616",100%,-,-,10 Days in a Madhouse
5,10 Things I Hate About You,False,"[Comedy, Romance, Drama]",en,20.88,1999-03-30,7.5,4637.0,,,,,,,,,10 Things I Hate About You
6,"10,000 B.C.",,,,,,,,"Mar 7, 2008"," $105,000,000",," $269,065,678"," $94,784,201",,,,"10,000 B.C."
7,"10,000 BC",False,"[Action, Adventure, Drama, Fantasy]",en,13.332,2008-02-22,5.3,1834.0,,,,,,,,,"10,000 BC"
8,100 Acres of Hell,,,,,,,,,,652.0,"$5,152","$5,152",100%,-,-,100 Acres of Hell
9,101 Dalmatians,False,"[Comedy, Family]",en,11.639000000000001,1996-11-17,5.8,1980.0,,,,,,,,,101 Dalmatians
10,102 Dalmatians,,,,,,,,"Nov 22, 2000"," $85,000,000",," $66,941,559"," $66,941,559",,,,102 Dalmatians
11,102 Not Out,,,,,,,,,,177.0,"$16,758,596","$1,343,797",8%,"$15,414,799",92%,102 Not Out
12,10E,,,,,,,,,,565.0,"$32,413","$32,413",100%,-,-,10E
13,10x10,,,,,,,,,,667.0,"$68,260","$2,263",3.3%,"$65,997",96.7%,10x10
14,12 Angry Men,False,[Drama],en,20.325,1957-04-10,8.4,4362.0,,,,,,,,,12 Angry Men
15,12 Days,,,,,,,,,,382.0,"$722,049","$5,204",0.7%,"$716,845",99.3%,12 Days
16,12 Strong,,,,,,,,"Jan 16, 2018"," $35,000,000",91.0,"$67,450,815","$45,819,713",67.9%,"$21,631,102",32.1%,12 Strong
17,12 Years a Slave,False,"[Drama, History]",en,25.706999999999997,2013-10-18,7.9,7457.0,,,,,,,,,12 Years a Slave
18,13 Assassins,False,"[Adventure, Drama, Action]",ja,8.111,2010-09-09,7.3,580.0,,,,,,,,,13 Assassins
19,13 Going On 30,,,,,,,,"Apr 23, 2004"," $37,000,000",," $97,658,712"," $57,139,723",,,,13 Going On 30
20,13 Hours,,,,,,,,,,93.0,"$69,411,370","$52,853,219",76.1%,"$16,558,151",23.9%,13 Hours
21,13 Hours: The Secret Soldiers of Benghazi,,,,,,,,"Jan 15, 2016"," $50,000,000",," $69,411,370"," $52,853,219",,,,13 Hours: The Secret Soldiers of Benghazi
22,13 Minutes 2015 Re-release,,,,,,,,,,428.0,"$395,557","$161,531",40.8%,"$234,026",59.2%,13 Minutes 2015 Re-release
23,15 Minutes,,,,,,,,"Mar 9, 2001"," $42,000,000",," $56,331,864"," $24,375,436",,,,15 Minutes
24,16 Blocks,,,,,,,,"Mar 3, 2006"," $45,000,000",," $65,595,141"," $36,895,141",,,,16 Blocks
25,17 Again,,,,,,,,"Apr 17, 2009"," $40,000,000",," $139,474,906"," $64,167,069",,,,17 Again
26,1898: Our Last Men in the Philippines,,,,,,,,,,315.0,"$1,995,045","$2,848",0.1%,"$1,992,197",99.9%,1898: Our Last Men in the Philippines
27,1900,False,"[Drama, History, Romance]",it,9.693,1976-09-01,7.8,255.0,,,,,,,,,1900
28,1915,,,,,,,,,,492.0,"$111,682","$111,682",100%,-,-,1915
29,1917,False,"[Action, Drama, War]",en,70.66,2019-12-10,8.0,2963.0,"Dec 25, 2019"," $100,000,000",25.0,"$362,628,024","$156,128,024",43.1%,"$206,500,000",56.9%,1917
30,1920 London,,,,,,,,,,656.0,"$16,077",-,-,"$16,077",100%,1920 London
31,1941,,,,,,,,"Dec 14, 1979"," $32,000,000",," $94,875,000"," $34,175,000",,,,1941
32,1945,,,,,,,,,,350.0,"$1,240,663","$1,006,193",81.1%,"$234,470",18.9%,1945
33,1991,,,,,,,,,,314.0,"$2,342,264","$2,342,264",100%,-,-,1991
34,2 Fast 2 Furious,False,"[Action, Crime, Thriller]",en,3.07,2003-06-05,6.3,4211.0,"Jun 6, 2003"," $76,000,000",," $236,410,607"," $127,120,058",,,,2 Fast 2 Furious
35,2 Guns,,,,,,,,"Aug 2, 2013"," $61,000,000",," $132,493,015"," $75,612,460",,,,2 Guns
36,2.0,,,,,,,,,,212.0,"$10,847,903","$4,152,000",38.3%,"$6,695,903",61.7%,2.0
37,2001: A Space Odyssey,False,"[Adventure, Mystery, Science Fiction]",en,23.647,1968-04-09,8.1,6730.0,,,,,,,,,2001: A Space Odyssey
38,2001: A Space Odyssey 2017 Re-release,,,,,,,,,,274.0,"$3,823,450","$3,236,321",84.6%,"$587,129",15.4%,2001: A Space Odyssey 2017 Re-release
39,2010,False,"[Science Fiction, Thriller]",en,14.229000000000001,1984-12-06,6.7,499.0,,,,,,,,,2010
40,2012,False,"[Action, Adventure, Science Fiction]",en,16.401,2009-10-10,5.7,8352.0,"Nov 12, 2009"," $200,000,000",," $757,677,748"," $166,112,167",,,,2012
41,20th Century Women,False,[Drama],en,12.58,2016-12-28,7.4,610.0,,,237.0,"$7,214,806","$5,664,764",78.5%,"$1,550,042",21.5%,20th Century Women
42,21,,,,,,,,"Mar 28, 2008"," $35,000,000",," $159,846,429"," $81,159,365",,,,21
43,21 Bridges,,,,,,,,"Nov 22, 2019"," $33,000,000",97.0,"$49,839,757","$28,539,757",57.3%,"$21,300,000",42.7%,21 Bridges
44,21 Grams,False,"[Drama, Crime, Thriller]",en,10.192,2003-09-06,7.3,1792.0,,,,,,,,,21 Grams
45,21 Jump Street,,,,,,,,"Mar 14, 2012"," $42,000,000",," $202,812,429"," $138,447,667",,,,21 Jump Street
46,22 Jump Street,,,,,,,,"Jun 5, 2014"," $50,000,000",," $331,333,876"," $191,719,337",,,,22 Jump Street
47,2307: Winter's Dream,,,,,,,,,,737.0,"$5,078",-,-,"$5,078",100%,2307: Winter's Dream
48,24 Frames,,,,,,,,,,723.0,"$37,045","$34,482",93.1%,"$2,563",6.9%,24 Frames
49,25th Hour,False,"[Crime, Drama]",en,10.292,2002-12-16,7.4,1328.0,,,,,,,,,25th Hour
50,28 Days,,,,,,,,"Apr 14, 2000"," $43,000,000",," $62,063,972"," $37,035,515",,,,28 Days
51,2:22,,,,,,,,,,269.0,"$3,945,729",$422,<0.1%,"$3,945,307",100%,2:22
52,3 Faces,,,,,,,,,,319.0,"$2,191,516","$72,324",3.3%,"$2,119,192",96.7%,3 Faces
53,3 Generations,,,,,,,,,,377.0,"$680,351","$155,936",22.9%,"$524,415",77.1%,3 Generations
54,3 Idiots,False,"[Comedy, Drama]",hi,13.306,2009-12-23,7.9,1316.0,,,,,,,,,3 Idiots
55,3 Men and a Baby,False,"[Family, Comedy]",en,10.697000000000001,1987-11-27,6.0,540.0,,,,,,,,,3 Men and a Baby
56,3 Nights in the Desert,,,,,,,,,,726.0,"$1,297","$1,297",100%,-,-,3 Nights in the Desert
57,3 Weeks in Yerevan,,,,,,,,,,556.0,"$45,536","$45,536",100%,-,-,3 Weeks in Yerevan
58,3 from Hell,,,,,,,,,,243.0,"$2,295,825","$2,172,949",94.6%,"$122,876",5.4%,3 from Hell
59,3 idiotas,,,,,,,,,,219.0,"$7,738,470","$1,249,233",16.1%,"$6,489,237",83.9%,3 idiotas
60,3-Iron,False,"[Crime, Drama, Romance]",ko,10.73,2004-10-15,7.8,543.0,,,,,,,,,3-Iron
61,30 Years of Garbage: The Garbage Pail Kids Story,,,,,,,,,,600.0,"$27,739","$27,739",100%,-,-,30 Years of Garbage: The Garbage Pail Kids Story
62,30-LOVE,,,,,,,,,,748.0,"$4,392","$4,392",100%,-,-,30-LOVE
63,300,False,"[Action, Adventure, War]",en,15.825999999999999,2007-03-07,7.1,8993.0,"Mar 9, 2007"," $60,000,000",," $454,161,935"," $210,614,939",,,,300
64,3000 Miles to Graceland,,,,,,,,"Feb 23, 2001"," $62,000,000",," $18,708,848"," $15,738,632",,,,3000 Miles to Graceland
65,300: Rise of an Empire,,,,,,,,"Mar 7, 2014"," $110,000,000",," $330,780,051"," $106,580,051",,,,300: Rise of an Empire
66,306 Hollywood,,,,,,,,,,790.0,"$18,399","$18,399",100%,-,-,306 Hollywood
67,31,,,,,,,,,,369.0,"$850,419","$779,820",91.7%,"$70,599",8.3%,31
68,"3100, Run and Become",,,,,,,,,,670.0,"$66,789","$65,524",98.1%,"$1,265",1.9%,"3100, Run and Become"
69,311 Enlarged to Show Detail 3,,,,,,,,,,411.0,"$238,791","$238,791",100%,-,-,311 Enlarged to Show Detail 3
70,33 & Beyond: The Royal Art of Freemasonry,,,,,,,,,,653.0,"$16,533","$16,533",100%,-,-,33 & Beyond: The Royal Art of Freemasonry
71,350 Days - Legends. Champions. Survivors,,,,,,,,,,702.0,"$47,526","$47,526",100%,-,-,350 Days - Legends. Champions. Survivors
72,355,,,,,,,,"Jan 15, 2021"," $75,000,000",, $0, $0,,,,355
73,3:10 to Yuma,,,,,,,,"Sep 7, 2007"," $48,000,000",," $71,171,825"," $53,606,916",,,,3:10 to Yuma
74,"3½ Minutes, Ten Bullets",,,,,,,,,,563.0,"$39,263","$30,407",77.4%,"$8,856",22.6%,"3½ Minutes, Ten Bullets"
75,4 Days in France,,,,,,,,,,679.0,"$12,273","$12,273",100%,-,-,4 Days in France
76,"4 Months, 3 Weeks and 2 Days",False,[Drama],ro,7.657,2007-08-24,7.6,331.0,,,,,,,,,"4 Months, 3 Weeks and 2 Days"
77,42,,,,,,,,"Apr 12, 2013"," $31,000,000",," $97,470,701"," $95,020,213",,,,42
78,42nd Street: The Musical,,,,,,,,,,248.0,"$1,967,450","$187,440",9.5%,"$1,780,010",90.5%,42nd Street: The Musical
79,45 Years,,,,,,,,,,197.0,"$14,430,249","$4,247,285",29.4%,"$10,182,964",70.6%,45 Years
80,47 Meters Down,,,,,,,,,,90.0,"$62,187,529","$44,307,191",71.2%,"$17,880,338",28.8%,47 Meters Down
81,47 Meters Down: Uncaged,,,,,,,,,,103.0,"$46,783,103","$22,260,900",47.6%,"$24,522,203",52.4%,47 Meters Down: Uncaged
82,47 Ronin,,,,,,,,"Dec 6, 2013"," $175,000,000",," $151,716,815"," $38,362,475",,,,47 Ronin
83,48 Hrs.,False,"[Thriller, Action, Comedy, Crime, Drama]",en,13.815,1982-12-07,6.6,745.0,,,,,,,,,48 Hrs.
84,5 Centimeters per Second,False,"[Animation, Drama, Romance]",ja,12.624,2007-03-03,7.4,988.0,,,,,,,,,5 Centimeters per Second
85,5 Flights Up,,,,,,,,,,279.0,"$3,679,847","$1,020,921",27.7%,"$2,658,926",72.3%,5 Flights Up
86,5 to 7,,,,,,,,,,387.0,"$674,579","$162,685",24.1%,"$511,894",75.9%,5 to 7
87,50 First Dates,,,,,,,,"Feb 13, 2004"," $75,000,000",," $196,320,329"," $120,776,832",,,,50 First Dates
88,52 Tuesdays,,,,,,,,,,646.0,"$9,844",-,-,"$9,844",100%,52 Tuesdays
89,5B,,,,,,,,,,524.0,"$72,968","$72,968",100%,-,-,5B
90,6 Days,,,,,,,,,,441.0,"$316,946",-,-,"$316,946",100%,6 Days
91,7 Chinese Brothers,,,,,,,,,,587.0,"$28,180","$28,180",100%,-,-,7 Chinese Brothers
92,7 Days in Entebbe,,,,,,,,,,229.0,"$8,771,432","$3,326,885",37.9%,"$5,444,547",62.1%,7 Days in Entebbe
93,7 Witches,,,,,,,,,,589.0,"$31,100","$31,100",100%,-,-,7 Witches
94,7 from Etheria,,,,,,,,,,771.0,"$2,208","$2,208",100%,-,-,7 from Etheria
95,78/52: Hitchcock's Shower Scene,,,,,,,,,,557.0,"$46,838","$37,664",80.4%,"$9,174",19.6%,78/52: Hitchcock's Shower Scene
96,8 Mile,False,"[Drama, Music]",en,16.480999999999998,2002-11-08,7.0,3983.0,"Nov 8, 2002"," $41,000,000",," $245,768,384"," $116,724,075",,,,8 Mile
97,8MM,,,,,,,,"Feb 26, 1999"," $40,000,000",," $96,398,826"," $36,443,442",,,,8MM
98,8½,False,"[Fantasy, Drama]",it,14.477,1963-02-14,8.3,1080.0,,,,,,,,,8½
99,9/11,,,,,,,,,,470.0,"$200,229","$170,000",84.9%,"$30,229",15.1%,9/11
100,90 Minutes in Heaven,,,,,,,,,,264.0,"$4,842,699","$4,842,699",100%,-,-,90 Minutes in Heaven
101,93Queen,,,,,,,,,,654.0,"$76,056","$76,056",100%,-,-,93Queen
102,99 Homes,,,,,,,,,,318.0,"$1,828,232","$1,411,927",77.2%,"$416,305",22.8%,99 Homes
103,A Aa,,,,,,,,,,302.0,"$2,313,043","$2,313,043",100%,-,-,A Aa
104,A Bad Moms Christmas,,,,,,,,,,64.0,"$130,560,428","$72,110,659",55.2%,"$58,449,769",44.8%,A Bad Moms Christmas
105,A Bag of Marbles,False,[Drama],fr,5.494,2017-01-18,7.9,519.0,,,195.0,"$10,898,998","$411,318",3.8%,"$10,487,680",96.2%,A Bag of Marbles
106,A Ballerina's Tale,,,,,,,,,,481.0,"$131,995","$131,995",100%,-,-,A Ballerina's Tale
107,A Beautiful Day in the Neighborhood,,,,,,,,"Nov 22, 2019"," $45,000,000",87.0,"$67,227,612","$61,667,441",91.7%,"$5,560,171",8.3%,A Beautiful Day in the Neighborhood
108,A Beautiful Mind,False,"[Drama, Romance]",en,21.357,2001-12-11,7.8,6210.0,"Dec 21, 2001"," $78,000,000",," $317,668,058"," $170,708,996",,,,A Beautiful Mind
109,A Beautiful Now,,,,,,,,,,753.0,"$1,714","$1,714",100%,-,-,A Beautiful Now
110,A Beautiful Planet,,,,,,,,,,148.0,"$25,721,868","$15,645,887",60.8%,"$10,075,981",39.2%,A Beautiful Planet
111,A Beginner's Guide to Snuff,,,,,,,,,,628.0,"$21,031","$21,031",100%,-,-,A Beginner's Guide to Snuff
112,A Better Tomorrow,False,"[Action, Crime, Drama]",cn,8.022,1986-08-02,7.5,203.0,,,,,,,,,A Better Tomorrow
113,A Bigger Splash,,,,,,,,,,234.0,"$7,545,758","$2,024,099",26.8%,"$5,521,659",73.2%,A Bigger Splash
114,A Bigger Splash 2019 Re-release,,,,,,,,,,502.0,"$95,826","$95,826",100%,-,-,A Bigger Splash 2019 Re-release
115,A Bit of Bad Luck,,,,,,,,,,647.0,"$18,089","$18,089",100%,-,-,A Bit of Bad Luck
116,A Bittersweet Life,False,"[Action, Drama, Crime]",ko,11.542,2005-03-31,7.5,387.0,,,,,,,,,A Bittersweet Life
117,A Boy Called Po,,,,,,,,,,744.0,"$4,550","$4,550",100%,-,-,A Boy Called Po
118,A Boy. A Girl. A Dream.,,,,,,,,,,618.0,"$112,552","$112,552",100%,-,-,A Boy. A Girl. A Dream.
119,"A Bread Factory, Part One/A Bread Factory, Part Two",,,,,,,,,,794.0,"$17,325","$17,325",100%,-,-,"A Bread Factory, Part One/A Bread Factory, Part Two"
120,A Bridge Too Far,False,"[Drama, History, War]",en,11.904000000000002,1977-06-15,7.2,385.0,,,,,,,,,A Bridge Too Far
121,A Brilliant Young Mind,,,,,,,,,,353.0,"$1,043,620","$171,793",16.5%,"$871,827",83.5%,A Brilliant Young Mind
122,A Bronx Tale,False,"[Crime, Drama]",en,10.312000000000001,1993-09-14,7.7,935.0,,,,,,,,,A Bronx Tale
123,A Bug's Life,False,"[Adventure, Animation, Comedy, Family]",en,15.751,1998-11-25,6.9,5664.0,"Nov 20, 1998"," $45,000,000",," $363,095,319"," $162,798,565",,,,A Bug's Life
124,A Chance in the World - Premiere,,,,,,,,,,621.0,"$112,007","$112,007",100%,-,-,A Chance in the World - Premiere
125,A Charlie Brown Christmas,False,"[Animation, Comedy, Family, TV Movie]",en,9.634,1965-12-09,7.7,330.0,,,,,,,,,A Charlie Brown Christmas
126,A Christmas Carol,False,"[Animation, Family]",en,13.267999999999999,2009-11-04,6.8,2864.0,,,,,,,,,A Christmas Carol
127,A Christmas Story,False,"[Comedy, Family]",en,8.953,1983-11-18,7.4,685.0,,,,,,,,,A Christmas Story
128,A Ciambra,,,,,,,,,,508.0,"$104,808","$41,934",40%,"$62,874",60%,A Ciambra
129,A Civil Action,,,,,,,,"Dec 25, 1998"," $60,000,000",," $56,709,981"," $56,709,981",,,,A Civil Action
130,A Clockwork Orange,False,"[Drama, Science Fiction]",en,20.022000000000002,1971-12-18,8.2,7789.0,,,,,,,,,A Clockwork Orange
131,A Close Shave,False,"[Animation, Comedy, Family]",en,13.097000000000001,1996-03-07,7.5,420.0,,,,,,,,,A Close Shave
132,A Cool Fish,,,,,,,,,,56.0,"$118,153,135","$551,876",0.5%,"$117,601,259",99.5%,A Cool Fish
133,A Cure for Wellness,,,,,,,,,,147.0,"$26,620,002","$8,106,986",30.5%,"$18,513,016",69.5%,A Cure for Wellness
134,A Dark Place,,,,,,,,,,632.0,"$9,212",-,-,"$9,212",100%,A Dark Place
135,A Different American Dream,,,,,,,,,,776.0,"$1,172","$1,172",100%,-,-,A Different American Dream
136,A Dog's Journey,False,"[Action, Adventure, Comedy, Fantasy]",en,11.839,2019-05-03,7.6,252.0,,,78.0,"$75,602,573","$22,782,371",30.1%,"$52,820,202",69.9%,A Dog's Journey
137,A Dog's Purpose,False,"[Adventure, Comedy, Drama, Fantasy, Family]",en,12.219000000000001,2017-01-19,7.3,1782.0,,,46.0,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,A Dog's Purpose
138,A Dog's Way Home,,,,,,,,,,76.0,"$80,708,134","$42,004,346",52%,"$38,703,788",48%,A Dog's Way Home
139,A Dog's Will,False,"[Adventure, Comedy]",pt,9.109,2000-09-15,8.4,568.0,,,,,,,,,A Dog's Will
140,A Dogâs Way Home,,,,,,,,"Jan 9, 2019"," $61,000,000",," $81,152,505"," $41,952,715",,,,A Dogâs Way Home
141,A Faithful Man,,,,,,,,,,341.0,"$1,720,605","$77,491",4.5%,"$1,643,114",95.5%,A Faithful Man
142,A Family Man,,,,,,,,,,335.0,"$1,641,235",-,-,"$1,641,235",100%,A Family Man
143,A Fantastic Woman,,,,,,,,,,277.0,"$3,702,353","$2,020,988",54.6%,"$1,681,365",45.4%,A Fantastic Woman
144,A Few Good Men,False,[Drama],en,13.564,1992-12-11,7.4,1824.0,"Dec 11, 1992"," $33,000,000",," $236,500,000"," $141,340,178",,,,A Few Good Men
145,A Fish Called Wanda,False,"[Comedy, Crime]",en,10.017000000000001,1988-07-15,7.3,1137.0,,,,,,,,,A Fish Called Wanda
146,A Fistful of Dollars,False,[Western],it,13.549000000000001,1964-09-12,7.9,2155.0,,,,,,,,,A Fistful of Dollars
147,A Fool,,,,,,,,,,313.0,"$2,067,820","$8,212",0.4%,"$2,059,608",99.6%,A Fool
148,A Gentleman,,,,,,,,,,283.0,"$3,438,746","$410,055",11.9%,"$3,028,691",88.1%,A Gentleman
149,A German Youth,,,,,,,,,,672.0,"$2,343","$2,343",100%,-,-,A German Youth
150,A Ghost Story,,,,,,,,,,323.0,"$1,951,683","$1,596,371",81.8%,"$355,312",18.2%,A Ghost Story
151,A Girl Like Grace,,,,,,,,,,759.0,$713,$713,100%,-,-,A Girl Like Grace
152,A Good Day to Die Hard,,,,,,,,"Feb 6, 2013"," $92,000,000",," $304,249,198"," $67,349,198",,,,A Good Day to Die Hard
153,A Good Year,,,,,,,,"Nov 10, 2006"," $35,000,000",," $42,064,105"," $7,459,300",,,,A Good Year
154,A Gorgeous Girl Like Me,False,"[Comedy, Crime, Drama]",fr,2.827,1972-09-13,6.5,23.0,,,,,,,,,A Gorgeous Girl Like Me
155,A Grand Day Out,False,"[Adventure, Animation, Comedy, Science Fiction, Family]",en,13.557,1990-05-18,7.4,422.0,,,,,,,,,A Grand Day Out
156,A Hard Day's Night,False,"[Comedy, Music]",en,11.052,1964-07-06,7.4,322.0,,,,,,,,,A Hard Day's Night
157,A Hidden Life,,,,,,,,,,209.0,"$4,223,718","$1,730,597",41%,"$2,493,121",59%,A Hidden Life
158,A History of Violence,,,,,,,,"Sep 23, 2005"," $32,000,000",," $61,477,797"," $31,493,782",,,,A History of Violence
159,A Hologram for the King,,,,,,,,"Apr 22, 2016"," $35,000,000",215.0,"$9,169,507","$4,212,494",45.9%,"$4,957,013",54.1%,A Hologram for the King
160,A Journey Through Time with Antony,,,,,,,,,,244.0,"$6,389,648","$127,381",2%,"$6,262,267",98%,A Journey Through Time with Antony
161,A Kid Like Jake,,,,,,,,,,678.0,"$60,784","$58,403",96.1%,"$2,381",3.9%,A Kid Like Jake
162,A Kind of Loving,,,,,,,,,,721.0,"$6,912","$6,912",100%,-,-,A Kind of Loving
163,A Kind of Murder,,,,,,,,,,505.0,"$91,149","$2,915",3.2%,"$88,234",96.8%,A Kind of Murder
164,A Knightâs Tale,,,,,,,,"May 11, 2001"," $41,000,000",," $100,622,586"," $56,083,966",,,,A Knightâs Tale
165,A League of Their Own,False,"[Comedy, Drama, History]",en,11.318,1992-07-01,7.1,744.0,"Jul 1, 1992"," $40,000,000",," $132,440,066"," $107,533,925",,,,A League of Their Own
166,A Lego Brickumentary,,,,,,,,,,500.0,"$101,531","$101,531",100%,-,-,A Lego Brickumentary
167,A Little Chaos,,,,,,,,,,220.0,"$10,084,623","$558,173",5.5%,"$9,526,450",94.5%,A Little Chaos
168,A Little Princess,False,"[Drama, Family, Fantasy]",en,8.443999999999999,1995-05-10,7.5,484.0,,,,,,,,,A Little Princess
169,A Madea Family Funeral,,,,,,,,,,79.0,"$74,747,725","$73,257,045",98%,"$1,490,680",2%,A Madea Family Funeral
170,A Man Apart,,,,,,,,"Apr 4, 2003"," $36,000,000",," $43,797,731"," $26,500,000",,,,A Man Apart
171,A Man Called Ove,False,"[Comedy, Drama]",sv,10.832,2015-12-25,7.5,504.0,,,155.0,"$30,691,696","$3,479,315",11.3%,"$27,212,381",88.7%,A Man Called Ove
172,A Man Escaped,False,"[Thriller, Drama, War]",fr,9.992,1956-11-11,8.0,200.0,,,,,,,,,A Man Escaped
173,A Melody to Remember,,,,,,,,,,245.0,"$6,559,996","$44,263",0.7%,"$6,515,733",99.3%,A Melody to Remember
174,A Million Ways to Die in The West,,,,,,,,"May 28, 2014"," $40,000,000",," $86,778,557"," $42,720,965",,,,A Million Ways to Die in The West
175,A Monster Calls,,,,,,,,"Oct 7, 2016"," $43,000,000",120.0,"$47,309,313","$3,740,823",7.9%,"$43,568,490",92.1%,A Monster Calls
176,A Monster with a Thousand Heads,,,,,,,,,,599.0,"$26,865","$24,852",92.5%,"$2,013",7.5%,A Monster with a Thousand Heads
177,A Murder in the Park,,,,,,,,,,636.0,"$12,088","$12,088",100%,-,-,A Murder in the Park
178,A Night at the Opera,False,[Comedy],en,7.617000000000001,1935-11-15,7.6,233.0,,,,,,,,,A Night at the Opera
179,A Nightmare on Elm Street,False,[Horror],en,12.545,1984-11-14,7.3,2820.0,"Apr 30, 2010"," $35,000,000",," $117,729,621"," $63,075,011",,,,A Nightmare on Elm Street
180,A Nightmare on Elm Street 4: The Dream Master,False,"[Horror, Thriller]",en,11.130999999999998,1988-08-19,5.8,688.0,,,,,,,,,A Nightmare on Elm Street 4: The Dream Master
181,A Paris Education,,,,,,,,,,622.0,"$111,197","$21,598",19.4%,"$89,599",80.6%,A Paris Education
182,A Perfect Day,,,,,,,,,,274.0,"$4,009,440","$14,044",0.4%,"$3,995,396",99.6%,A Perfect Day
183,A Perfect World,False,"[Crime, Drama, Thriller]",en,10.315,1993-11-24,7.4,827.0,,,,,,,,,A Perfect World
184,A Poem Is a Naked Person,,,,,,,,,,507.0,"$96,592","$96,592",100%,-,-,A Poem Is a Naked Person
185,A Prayer Before Dawn,,,,,,,,,,384.0,"$958,883","$14,453",1.5%,"$944,430",98.5%,A Prayer Before Dawn
186,A Private War,,,,,,,,,,275.0,"$3,915,207","$1,633,208",41.7%,"$2,281,999",58.3%,A Private War
187,A Prophet,False,"[Crime, Drama]",fr,10.204,2009-08-26,7.6,798.0,,,,,,,,,A Prophet
188,A Question of Faith,,,,,,,,,,301.0,"$2,587,072","$2,587,072",100%,-,-,A Question of Faith
189,A Quiet Passion,,,,,,,,,,280.0,"$4,159,246","$1,865,396",44.8%,"$2,293,850",55.2%,A Quiet Passion
190,A Quiet Place,False,"[Drama, Horror, Science Fiction]",en,41.61,2018-04-03,7.3,7316.0,,,30.0,"$340,939,361","$188,024,361",55.1%,"$152,915,000",44.9%,A Quiet Place
191,A Reason,,,,,,,,,,621.0,"$15,792","$15,792",100%,-,-,A Reason
192,A Royal Affair,False,"[Drama, History, Romance]",da,9.883,2012-03-29,7.4,519.0,,,,,,,,,A Royal Affair
193,A Royal Night Out,,,,,,,,,,265.0,"$4,779,170","$228,136",4.8%,"$4,551,034",95.2%,A Royal Night Out
194,A Separation,False,[Drama],fa,12.315999999999999,2011-03-15,8.0,901.0,,,,,,,,,A Separation
195,A Shot in the Dark,False,"[Comedy, Crime, Mystery]",en,8.28,1964-06-23,7.4,238.0,,,,,,,,,A Shot in the Dark
196,A Silent Voice,False,"[Drama, Animation, Romance]",ja,13.315,2016-09-17,8.3,1377.0,,,,,,,,,A Silent Voice
197,A Silent Voice: The Movie,,,,,,,,,,141.0,"$30,156,463","$310,407",1%,"$29,846,056",99%,A Silent Voice: The Movie
198,A Silent Voice: The Movie 2019 Re-release,,,,,,,,,,373.0,"$333,984","$333,984",100%,-,-,A Silent Voice: The Movie 2019 Re-release
199,A Simple Favor,,,,,,,,,,65.0,"$97,644,617","$53,548,586",54.8%,"$44,096,031",45.2%,A Simple Favor
200,A Single Man,False,"[Drama, Romance]",en,12.397,2009-10-19,7.4,951.0,,,,,,,,,A Single Man
201,A Small Good Thing,,,,,,,,,,756.0,"$1,196","$1,196",100%,-,-,A Small Good Thing
202,A Sound of Thunder,,,,,,,,"Sep 2, 2005"," $80,000,000",," $6,300,451"," $1,900,451",,,,A Sound of Thunder
203,A Space Program,,,,,,,,,,668.0,"$13,739","$13,739",100%,-,-,A Space Program
204,A Special Day,False,"[Drama, Romance]",it,7.822,1977-08-11,8.1,296.0,,,,,,,,,A Special Day
205,A Star Is Born,False,"[Drama, Music, Romance]",en,7.937,1976-12-16,5.9,97.0,,,20.0,"$436,188,866","$215,288,866",49.4%,"$220,900,000",50.6%,A Star Is Born
207,A Star is Born,,,,,,,,"Oct 5, 2018"," $36,000,000",," $434,104,984"," $215,288,866",,,,A Star is Born
208,A Street Cat Named Bob,False,"[Comedy, Drama]",en,11.458,2016-11-04,7.5,580.0,,,223.0,"$8,446,262","$82,703",1%,"$8,363,559",99%,A Street Cat Named Bob
209,A Streetcar Named Desire,False,[Drama],en,12.094000000000001,1951-09-18,7.8,675.0,,,,,,,,,A Streetcar Named Desire
210,A Tale of Love and Darkness,,,,,,,,,,383.0,"$724,885","$572,212",78.9%,"$152,673",21.1%,A Tale of Love and Darkness
211,A Taxi Driver,False,"[Action, Drama, History]",ko,9.55,2017-08-02,8.2,216.0,,,79.0,"$86,252,940","$1,527,829",1.8%,"$84,725,111",98.2%,A Taxi Driver
212,A Thousand Words,,,,,,,,"Mar 9, 2012"," $40,000,000",," $20,790,486"," $18,450,127",,,,A Thousand Words
213,A Time to Kill,False,"[Crime, Drama, Thriller]",en,10.234,1996-07-24,7.2,1073.0,"Jul 24, 1996"," $40,000,000",," $152,266,007"," $108,766,007",,,,A Time to Kill
214,A Trip to the Moon,False,"[Adventure, Fantasy, Science Fiction]",fr,11.767999999999999,1902-09-01,8.0,845.0,,,,,,,,,A Trip to the Moon
